phase angle (phi_L),L0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.8091981077428254,1.35,0.7819744319896743,0.6846517703935793,1.1421491418040854,0.8604548838290025,0.15471975511965977
0.9519977738150888,1.35,0.7341611179506654,0.6320987027159569,1.1614659463722579,0.8238989000058496,0.15471975511965977
1.0947974398873521,1.35,0.6652079817937093,0.5733387529126266,1.1602355124511932,0.7797387475990885,0.15471975511965977
1.2375971059596154,1.35,0.6149663182557636,0.5339991660903708,1.151624117240083,0.7454487799395458,0.15471975511965977
1.3803967720318786,1.35,0.5502065046711222,0.5485844289447175,1.002956838803327,0.7169653787080437,0.15471975511965977
1.523196438104142,1.35,0.5118071300793816,0.5633452533964047,0.9085141429588691,0.7001973316520816,0.15471975511965977
1.6659961041764055,1.35,0.4794026599798261,0.5818068181420587,0.8239894154399051,0.6921288363370232,0.15471975511965977
1.8087957702486688,1.35,0.42828326317714077,0.632269945990829,0.6773740645002174,0.6888418831282896,0.15471975511965977
1.951595436320932,1.35,0.37431104735752835,0.7387355796237078,0.5066915113905741,0.6963993828329545,0.15471975511965977
2.0943951023931953,1.35,0.3357283743148251,0.8400628198835107,0.3996467482769677,0.7173494065801,0.15471975511965977
0.5235987755982988,1.575,0.9802265265396465,0.9663206859057871,1.0143905029010372,0.9697118330897506,0.15471975511965977
0.6663984416705622,1.575,0.9567972709690443,0.8706240623019676,1.0989786664513166,0.9436779981676846,0.15471975511965977
0.8091981077428254,1.575,0.8987426300710002,0.8125698974022462,1.1060496247082803,0.9035703715455325,0.15471975511965977
0.9519977738150888,1.575,0.8305024385716135,0.716230421334245,1.159546444598785,0.8565932445501956,0.15471975511965977
1.0947974398873521,1.575,0.8111208051473766,0.6416891996184162,1.2640399832655962,0.83311221351188,0.15471975511965977
1.2375971059596154,1.575,0.7302722456556987,0.6248560864416166,1.168704700972664,0.790702168413449,0.15471975511965977
1.3803967720318786,1.575,0.6738558673714597,0.598809952694519,1.1253250957824765,0.756679580895016,0.15471975511965977
1.523196438104142,1.575,0.6130004716751745,0.6306628373079071,0.9719939647813601,0.7313029887044349,0.15471975511965977
1.6659961041764055,1.575,0.5553266351192258,0.6470016805669241,0.8583078712139207,0.709133050556812,0.15471975511965977
1.8087957702486688,1.575,0.5316057323300987,0.7008187031335341,0.758549579160998,0.7165863775970613,0.15471975511965977
1.951595436320932,1.575,0.46671890843238595,0.7925355173840031,0.5888933659060848,0.723082928208238,0.15471975511965977
2.0943951023931953,1.575,0.40610805791777316,0.9387478628373725,0.4326061064898816,0.7517419160372169,0.15471975511965977
0.5235987755982988,1.8,1.172148160273485,1.083831366866914,1.0814857330267833,1.0509640475468272,0.15471975511965977
0.6663984416705622,1.8,1.1465888941884677,0.9774002567808436,1.1731006680567715,1.0301718901858348,0.15471975511965977
0.8091981077428254,1.8,1.1007116615105303,0.8525836140430387,1.291030748633372,0.9870842806159349,0.15471975511965977
0.9519977738150888,1.8,1.058678751812558,0.7556579145577225,1.401002664588235,0.9576606391174979,0.15471975511965977
1.0947974398873521,1.8,0.9934959995013813,0.6743040286546023,1.4733650657310224,0.9166650598279341,0.15471975511965977
1.2375971059596154,1.8,0.9414798209596795,0.6181688263228214,1.523014071350175,0.8894792691173272,0.15471975511965977
1.3803967720318786,1.8,0.9068903269609757,0.5365634908512921,1.69018269491675,0.8682247713033308,0.15471975511965977
1.523196438104142,1.8,0.7822599347230115,0.5976733885995941,1.3088418350964586,0.807907987986879,0.15471975511965977
1.6659961041764055,1.8,0.6856366646173977,0.7020285579226208,0.9766506745057089,0.7645040936991767,0.15471975511965977
1.8087957702486688,1.8,0.6015327397709613,0.8039981535159229,0.7481767677455844,0.7453727509570117,0.15471975511965977
1.951595436320932,1.8,0.5929707408175133,0.8149421637332593,0.7276230967129098,0.7715598763208302,0.15471975511965977
2.0943951023931953,1.8,0.5275527008131828,0.9387446254232809,0.561976800213699,0.7966275925609221,0.15471975511965977
0.5235987755982988,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
0.6663984416705622,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
0.8091981077428254,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
0.9519977738150888,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.0947974398873521,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.2375971059596154,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.3803967720318786,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.523196438104142,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.6659961041764055,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.8087957702486688,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
1.951595436320932,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
2.0943951023931953,0.0,0.04947943604856776,0.3419098945942263,0.14471484104690574,0.6388122530187028,0.07735987755982988
0.5235987755982988,0.225,0.06360627147545177,0.2978934606185992,0.21352020062262642,0.6177544970053439,0.07735987755982988
0.6663984416705622,0.225,0.05991372774079509,0.2968998700231477,0.20179775671886935,0.6144914002324632,0.07735987755982988
0.8091981077428254,0.225,0.05604750243325021,0.2968608055071714,0.18880061427272601,0.6117570087952793,0.07735987755982988
0.9519977738150888,0.225,0.05208371397539123,0.29778270670912554,0.17490509959756212,0.6096171302022179,0.07735987755982988
1.0947974398873521,0.225,0.04810226895707785,0.2996533455090862,0.1605263871669982,0.6081291235161261,0.07735987755982988
1.2375971059596154,0.225,0.04418518902630664,0.3024404376343832,0.14609550684396777,0.6073354888761214,0.07735987755982988
