phi,length ratio,thrust,power,efficiency,LE sigma magnitude
3.4271919857343196,-0.25,0.3077906551436435,-0.7310153750728142,0.4210453919836986,0.9840820688907219
3.4271919857343196,0.25,0.6505505883079773,-1.845304910244986,0.35254368245387097,1.5538904456335576
3.4271919857343196,0.5,1.110742548809131,-3.0297730162954224,0.36660916274423194,2.2541474391443552
3.998390650023373,-0.5,0.25072049238345817,-0.45953072496001346,0.5456011508376831,0.692264624297093
3.998390650023373,-0.25,0.2881008950254805,-0.719514987043998,0.40040985971549087,0.8494433398711032
3.998390650023373,0.25,0.6346173027539438,-1.8269473784002401,0.3473648503820861,1.3739451637204214
3.998390650023373,0.5,1.05436768008498,-2.9325359931798287,0.35954125798868725,1.7989164763829388
4.569589314312426,-0.5,0.18469031849507375,-0.500979033102225,0.3686587786946118,0.9083462487558371
4.569589314312426,-0.25,0.2674787772700405,-0.729796334461227,0.36651153841092804,0.9354922177434337
4.569589314312426,0.25,0.6100182074349563,-1.8338852662333132,0.3326370622344853,1.4113019969841583
4.569589314312426,0.5,0.9425394633225322,-2.9632843532205997,0.31807256779058274,1.8165060431877607
5.140787978601479,-0.5,0.20892666454155065,-0.5609299374785257,0.37246481348581806,1.0737859350122676
5.140787978601479,-0.25,0.26966864229351434,-0.7487157136851772,0.36017494673139133,1.0440090896437166
5.140787978601479,0.25,0.6061499586217924,-1.8603166064191061,0.32583161195801014,1.5302476496633972
5.140787978601479,0.5,0.9276129522587482,-3.05145894137955,0.30398998317813797,2.1318070372432416
5.711986642890533,-0.5,0.28860251989868957,-0.5690724925893071,0.5071454404438602,1.0932760459811455
5.711986642890533,-0.25,0.2906516079005433,-0.7547308257389804,0.38510631603785,1.083960119390845
5.711986642890533,0.25,0.6309706498448674,-1.875935108170441,0.336349934012504,1.6544852497286324
5.711986642890533,0.5,1.009727470534214,-3.1175940479759783,0.3238803561322408,2.4492555053905507
6.283185307179586,-0.5,0.3363511721871712,-0.5194115799724206,0.6475619434688586,0.9640702927173191
6.283185307179586,-0.25,0.3056961704181301,-0.7417071045883672,0.4121521400119059,1.0335469038757583
6.283185307179586,0.25,0.6599685201012776,-1.8588274341038982,0.35504560993282014,1.644594063008516
6.283185307179586,0.5,1.1291197274925415,-3.0911854679983186,0.3652707801527345,2.4593853652553657
