phi,L0,thrust,power,efficiency,LE sigma magnitude
3.7699111843077517,0.5,1.2393557659354622,15.440071445867263,0.08026878439524268,3.3869415180595617
3.7699111843077517,1.0,0.37787217220658376,27.086222670850013,0.01395071497412029,10.942316106405391
3.7699111843077517,1.5,-0.4562289389789472,45.110538166917365,0.01011357783608822,15.906628842297335
3.9494307645128828,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
3.9494307645128828,0.5,1.3180138746365875,16.002442275712905,0.08236329504759111,3.2693615224990036
3.9494307645128828,1.0,1.1454385624099928,27.398642488663004,0.04180639836020897,13.53738722228091
3.9494307645128828,1.5,1.6643283312946697,49.37193314192466,0.03371000941993477,6.695924820655994
4.128950344718014,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
4.128950344718014,0.5,1.6246899746392018,15.877491236954329,0.1023266176244387,3.3502090089124184
4.128950344718014,1.0,1.1150269651627824,25.972577197914173,0.042930932755195696,4.288809167769996
4.128950344718014,1.5,0.31652713573546415,47.84500556890852,0.006615677686139834,5.922170994448625
4.308469924923145,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
4.308469924923145,0.5,1.8058159749618112,16.125218134983914,0.11198707266130342,3.3196812845868524
4.308469924923145,1.0,1.4984965165053459,26.467078672550333,0.05661737492999082,4.196342492363017
4.308469924923145,1.5,0.8780880383045566,52.500253435011786,0.01672540570478409,5.730147619670626
4.487989505128276,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
4.487989505128276,0.5,2.032807429495511,15.92041258181431,0.12768559979516875,3.307845252896562
4.487989505128276,1.0,1.8423323412584964,25.724195412851948,0.07161865752030702,4.098564624126255
4.487989505128276,1.5,1.4578854843415376,47.546940766995114,0.03066202495521088,5.84490178931098
4.667509085333407,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
4.667509085333407,0.5,2.245866619250707,15.529085561283807,0.14462323685368622,3.250110917660111
4.667509085333407,1.0,2.193176923838149,25.065155706566088,0.0874990344968662,3.931593640336891
4.667509085333407,1.5,1.904896478863495,45.127825149350855,0.04221112966466314,5.65883041261497
4.847028665538538,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
4.847028665538538,0.5,2.4138395876061107,14.777604034229528,0.16334444893873915,3.118218850613753
4.847028665538538,1.0,2.584395239170218,23.91629737933238,0.10806000603603304,3.736460654079563
4.847028665538538,1.5,2.4102323679448605,44.60738387376175,0.05403213904598807,5.036780210553591
5.026548245743669,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.026548245743669,0.5,2.6036951423117127,14.179586370022369,0.18362278520453099,2.995139094635725
5.026548245743669,1.0,2.8330237844777733,22.340401709815158,0.1268116760511561,3.5984970538206413
5.026548245743669,1.5,3.078984274215474,41.91174445231069,0.07346351993816193,4.600539787005564
5.2060678259488,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.2060678259488,0.5,2.738791227788441,13.280939862912874,0.20621968445445163,2.8509512734833318
5.2060678259488,1.0,3.043665229194983,20.49354098069518,0.1485182688566169,3.248709519687263
5.2060678259488,1.5,3.0825510390868245,38.717578196134525,0.07961631854842045,4.154758056549939
5.385587406153931,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.385587406153931,0.5,2.8453502133973503,12.347050416829203,0.23044776827987176,2.6557215502118607
5.385587406153931,1.0,3.2286882493194637,18.770388987348756,0.17200966114743813,2.9988325136909473
5.385587406153931,1.5,3.8435945399651215,34.635431779118676,0.1109729067180962,3.874329081161417
5.565106986359062,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.565106986359062,0.5,2.9229339253727087,11.365352943621609,0.25717933616950267,2.4679330250533433
5.565106986359062,1.0,3.392151214316535,16.411218962291926,0.20669709069817935,2.544804179516218
5.565106986359062,1.5,3.730069486568066,31.29803418027394,0.11917903421931204,3.1304508258431376
5.744626566564193,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.744626566564193,0.5,3.0133462876035493,10.512944927023103,0.2866319864244569,2.3001006633334335
5.744626566564193,1.0,3.8118102518560777,15.65486520340332,0.24349045503294411,2.3385228777028
5.744626566564193,1.5,4.063862000003933,27.38536126274318,0.14839541319225444,2.9524190722483237
5.924146146769324,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
5.924146146769324,0.5,3.0786417035675475,9.676726371115826,0.31814909148997134,2.1889753378273733
5.924146146769324,1.0,3.869756074732781,13.877550392125054,0.2788500827155137,2.1307257477720456
5.924146146769324,1.5,4.600719098106959,24.52478442922526,0.18759468045005342,2.580738483558527
6.103665726974455,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
6.103665726974455,0.5,3.128020720338124,8.837123196372815,0.35396368827606883,2.1836867169464376
6.103665726974455,1.0,4.100938054612449,12.513553368796135,0.32771970788397886,2.1953488108445507
6.103665726974455,1.5,5.411714774071893,22.462353775223278,0.24092376196305812,2.5436946779162515
6.283185307179586,0.0,2.1235245249226447,8.116898620880361,0.26161772175643194,2.6175794584184433
6.283185307179586,0.5,3.158450949211508,8.017868470020595,0.39392651064571466,2.201119043608386
6.283185307179586,1.0,4.264936408471091,11.020458020234253,0.38700173809839844,2.3413354081607536
6.283185307179586,1.5,5.722157886884683,19.436641960506652,0.294400539893236,2.5833038158420507
