phase angle (phi_L),pivot loc. alpha0,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
5.864306286700947,0.0,0.030544787873511125,0.34484483809463373,0.08857545336122706,0.6722381382859562,0.19457963267948963
6.283185307179586,0.0,0.020938972193104435,0.32777890184909303,0.06388139100772441,0.6533327088991105,0.19457963267948963
0.0,0.5,0.117557946220827,0.33551612188401586,0.35037942606366157,0.6544747307157159,0.15530972450961725
0.41887902047863906,0.5,0.09991299777852719,0.3083183861784405,0.324057864394445,0.6285802568181661,0.15530972450961725
0.8377580409572781,0.5,0.07692715601899677,0.2987908396493897,0.25746156110162366,0.6079298567312499,0.15530972450961725
1.2566370614359172,0.5,0.05211777398473028,0.30985985420728746,0.1681978910048314,0.5976145714223924,0.15530972450961725
1.6755160819145563,0.5,0.0298926034740518,0.34012684435276236,0.08788663397308537,0.6005492071605635,0.15530972450961725
2.0943951023931953,0.5,0.014645009604739594,0.3841306379092446,0.03812507558483177,0.6161345446861982,0.15530972450961725
2.5132741228718345,0.5,0.009488855690067657,0.43363631309559453,0.02188205969728336,0.6404886508695443,0.15530972450961725
2.9321531433504733,0.5,0.015469387079799736,0.4793715264756262,0.032270141686411326,0.6681882249739051,0.15530972450961725
3.3510321638291125,0.5,0.03130516826754189,0.5130720750273774,0.0610151473667154,0.6940275433868096,0.15530972450961725
3.7699111843077517,0.5,0.053772341024935104,0.5291016269536957,0.10162951366173174,0.7139454820293126,0.15530972450961725
4.1887902047863905,0.5,0.07857246889596281,0.525387297668103,0.14955151988771245,0.7254394548388862,0.15530972450961725
4.607669225265029,0.5,0.10130507925862355,0.5031130573460336,0.20135648991703156,0.7272597942514865,0.15530972450961725
5.026548245743669,0.5,0.1183732026666042,0.46651697939945996,0.25373825154013513,0.7195569023276338,0.15530972450961725
5.445427266222308,0.5,0.12733677554924563,0.4216318907643107,0.30200935540814206,0.7033579269328358,0.15530972450961725
5.864306286700947,0.5,0.12707527067962227,0.3755053036009941,0.3384113871655203,0.6806717821592775,0.15530972450961725
6.283185307179586,0.5,0.11755794622073296,0.33551612188401575,0.3503794260633814,0.654474730715595,0.15530972450961725
0.0,1.0,0.26528798969420164,0.44429548139564407,0.5970981043085678,0.728494395854181,0.11603981633974482
0.41887902047863906,1.0,0.24423987655804388,0.3724911960930818,0.6556930180358164,0.690732366829456,0.11603981633974482
0.8377580409572781,1.0,0.2090691287787961,0.3336841953334506,0.6265478907979843,0.6570444483266127,0.11603981633974482
