phase angle (phi_L),reduced frequency f*,<thrust>,"<power,input>",efficiency,<|LES|>,Strouhal Number (St)
0.5711986642890533,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
1.1423973285781066,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
1.7135959928671598,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
2.284794657156213,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
2.8559933214452666,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
3.4271919857343196,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
3.998390650023373,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
4.569589314312426,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
5.140787978601479,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
5.711986642890533,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
6.283185307179586,0.6000000000000001,0.6731504840555166,1.9717960940662804,0.3413895007101526,1.0235723250603972,0.23207963267948967
0.0,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
0.5711986642890533,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
1.1423973285781066,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
1.7135959928671598,0.8,1.2333185583881887,3.960753965997267,0.31138479415185155,1.2522314655694942,0.30943951023931954
